Program,xPONENT,,Unknown,,,
"39(1,G5)",148,82.5,-16.25,0.25,12.75,265
"40(1,H5)",83,15.5,-6.25,1.25,6.75,224
"41(1,A6)",82,48,-21.25,-2.75,2.75,227
"42(1,B6)",36,-5.5,-16.25,4.75,-1.25,220
"43(1,C6)",33,35.5,-12.25,3.25,6.25,243
"44(1,D6)",29,12,-8.25,0.25,14.75,255
"45(1,E6)",15,31.5,-13.75,-3.25,-3.25,265
"46(1,F6)",16,11.5,-7.25,-2.75,-0.25,231
"47(1,G6)",229,143,-11.25,1.25,56.75,284
"48(1,H6)",28,74.5,-11.25,-3.25,6.25,225
"49(1,A7)",79,44.5,-3.75,-0.75,1.75,232
"50(1,B7)",47,21.5,-20.25,-1.75,-1.75,351
"51(1,C7)",40,78,-16.75,-2.75,-0.75,240
"52(1,D7)",275,122,-11.25,2.25,10.75,385
"53(1,E7)",232,8.5,-17.25,-2.75,-3.75,214
"54(1,F7)",228,-9,-17.75,-1.75,-0.25,250
"55(1,G7)",197,52.5,-18.75,-1.75,-10.75,218
"56(1,H7)",181,-12,-12.25,-0.75,11.75,233
"57(1,A8)",156,27,-12.25,-0.75,10.75,240
"58(1,B8)",147,1.5,0.25,0.75,0.75,217
"59(1,C8)",141,15.5,-15.75,0.25,2.75,228
"60(1,D8)",134,24,-9.25,0.25,17.75,279
"61(1,E8)",132,12.5,-12.25,2.25,-2.25,282
"62(1,F8)",131,12,-14.75,-1.25,-4.75,228
"63(1,G8)",113,35.5,-9.75,-1.75,19.75,227
"64(1,H8)",99,29.5,-11.75,0.25,3.25,244
"65(1,A9)",95,4.5,-20.25,2.25,0.25,217
"66(1,B9)",94,2,-13.75,-1.75,-2.25,221
"67(1,C9)",87,5,-24.25,0.75,5.25,234
"68(1,D9)",69,48,-2.25,-3.75,15.75,238
"69(1,E9)",68,3.5,-17.25,-2.75,1.25,222
"70(1,F9)",205,-5,-16.25,-1.75,-5.25,212
"71(1,G9)",24,52,-6.25,-1.25,12.25,567
"72(1,H9)",63,50.5,-22.25,-1.75,16.75,214
"73(1,A10)",306,16.5,-20.75,-0.25,0.75,207
"74(1,B10)",290,-1,-18.75,-2.25,-4.25,258
"75(1,C10)",17,-11.5,-7.25,7.25,9.75,222
"76(1,D10)",198,83.5,-13.25,-2.75,10.25,377
"77(1,E10)",30,19.5,-11.75,0.25,6.75,305
"78(1,F10)",41,14,-11.25,-2.75,-5.25,242
"79(1,G10)",55,7.5,-18.25,-1.75,17.75,250
"80(1,H10)",208,15.5,-2.25,-3.75,0.75,234
"81(1,A11)",93,7.5,-9.25,-1.75,2.25,266
"82(1,B11)",216,-4.5,-13.75,-4.75,0.75,212
"83(1,C11)",219,56,-11.25,-2.25,6.25,261
"84(1,D11)",170,14.5,-25.25,-1.75,15.25,239
"85(1,E11)",180,14.5,-10.25,-2.75,10.75,237
"86(1,F11)",296,-6,-19.25,-1.75,0.75,240
,,,,,,
DataType:,Count,,,,,
Location,Sample,CNTF,GDNF,NGF,BDNF,Total Events
"1(1,A1)",Standard1,74,50,53,58,235
"2(1,B1)",Standard2,66,50,52,78,246
"3(1,C1)",Standard3,56,50,68,62,236
"4(1,D1)",Standard4,70,72,50,84,276
"5(1,E1)",Standard5,66,50,69,71,256
"6(1,F1)",Standard6,50,56,57,67,230
"7(1,G1)",Standard7,66,50,53,58,227
"8(1,H1)",Background0,50,50,58,57,215
"9(1,A2)",Standard1,50,71,69,62,252
"10(1,B2)",Standard2,50,64,62,68,244
"11(1,C2)",Standard3,64,65,58,50,237
"12(1,D2)",Standard4,56,57,50,65,228
"13(1,E2)",Standard5,59,61,79,50,249
"14(1,F2)",Standard6,50,58,55,56,219
"15(1,G2)",Standard7,50,50,52,65,217
"16(1,H2)",Background0,73,77,50,66,266
"17(1,A3)",312,50,63,87,58,258
"18(1,B3)",309,50,63,66,51,230
"19(1,C3)",308,63,55,56,50,224
"20(1,D3)",301,51,50,77,69,247
"21(1,E3)",298,50,61,80,79,270
"22(1,F3)",287,50,56,56,76,238
"23(1,G3)",286,50,55,51,66,222
"24(1,H3)",284,50,118,109,107,384
"25(1,A4)",282,50,64,76,76,266
"26(1,B4)",281,50,101,95,103,349
"27(1,C4)",280,50,168,208,204,630
"28(1,D4)",264,50,101,134,130,415
"29(1,E4)",261,55,77,50,54,236
"30(1,F4)",247,50,70,56,66,242
"31(1,G4)",210,60,50,63,74,247
"32(1,H4)",207,54,50,50,70,224
"33(1,A5)",194,63,50,69,66,248
"34(1,B5)",193,50,95,137,159,441
"35(1,C5)",192,50,50,57,63,220
"36(1,D5)",167,54,53,50,60,217
"37(1,E5)",162,65,50,56,72,243
"38(1,F5)",153,50,73,88,105,316
"39(1,G5)",148,50,67,80,68,265
"40(1,H5)",83,50,61,53,60,224
