Region,Cases,Deaths,Recovered,Active,Longitude,Latitude,Date
Namibia,1843.00,8.00,101.00,1734.00,18.49041,-22.95764,
Nepal,18752.00,48.00,13754.00,4950.00,84.124008,28.394857,
Netherlands,53413.00,6160.00,189.00,47064.00,5.291266,52.132633,
New Zealand,1557.00,22.00,1514.00,21.00,174.885971,-40.900557,
Nicaragua,3439.00,108.00,2492.00,839.00,-85.207229,12.865416,
Niger,1132.00,69.00,1027.00,36.00,8.081666,17.607789,
Nigeria,41180.00,860.00,18203.00,22117.00,8.675277,9.081999,
North Macedonia,10213.00,466.00,5564.00,4183.00,21.745275,41.608635,
Norway,9132.00,255.00,8752.00,125.00,8.468946,60.472024,
Oman,77058.00,393.00,57028.00,19637.00,55.923255,21.512583,
Pakistan,274289.00,5842.00,241026.00,27421.00,69.345116,30.375321,
Panama,61442.00,1322.00,35086.00,25034.00,-80.782127,8.537981,
Papua New Guinea,62.00,0.00,11.00,51.00,143.95555,-6.314993,
Paraguay,4548.00,43.00,2905.00,1600.00,-58.443832,-23.442503,
Peru,389717.00,18418.00,272547.00,98752.00,-75.015152,-9.189967,
Philippines,82040.00,1945.00,26446.00,53649.00,121.774017,12.879721,
Poland,43402.00,1676.00,32856.00,8870.00,19.145136,51.919438,
Portugal,50299.00,1719.00,35375.00,13205.00,-8.224454,39.399872,
Qatar,109597.00,165.00,106328.00,3104.00,51.183884,25.354826,
Romania,45902.00,2206.00,25794.00,17902.00,24.96676,45.943161,
Russia,816680.00,13334.00,602249.00,201097.00,105.318756,61.52401,
Rwanda,1879.00,5.00,975.00,899.00,29.873888,-1.940278,
Saint Kitts and Nevis,17.00,0.00,15.00,2.00,-62.782998,17.357822,
Saint Lucia,24.00,0.00,22.00,2.00,-60.978893,13.909444,
Saint Vincent and the Grenadines,52.00,0.00,39.00,13.00,-61.287228,12.984305,
San Marino,699.00,42.00,657.00,0.00,12.457777,43.94236,
Sao Tome and Principe,865.00,14.00,734.00,117.00,6.613081,0.18636,
Saudi Arabia,268934.00,2760.00,222936.00,43238.00,45.079162,23.885942,
Senegal,9764.00,194.00,6477.00,3093.00,-14.452362,14.497401,
Serbia,24141.00,543.00,0.00,23598.00,21.005859,44.016521,
Seychelles,114.00,0.00,39.00,75.00,55.491977,-4.679574,
Sierra Leone,1783.00,66.00,1317.00,400.00,-11.779889,8.460555,
Singapore,50838.00,27.00,45692.00,5119.00,103.819836,1.352083,
Slovakia,2181.00,28.00,1616.00,537.00,19.699024,48.669026,
Slovenia,2087.00,116.00,1733.00,238.00,14.995463,46.151241,
Somalia,3196.00,93.00,1543.00,1560.00,46.199616,5.152149,
South Africa,452529.00,7067.00,274925.00,170537.00,22.937506,-30.559482,
South Korea,14203.00,300.00,13007.00,896.00,127.766922,35.907757,
Sudan,2305.00,46.00,1175.00,1084.00,30.217636,12.862807,
Spain,272421.00,28432.00,150376.00,93613.00,-3.74922,40.463667,
Sri Lanka,2805.00,11.00,2121.00,673.00,80.771797,7.873054,
Sudan,11424.00,720.00,5939.00,4765.00,30.217636,12.862807,
Suriname,1483.00,24.00,925.00,534.00,-56.027783,3.919305,
Sweden,79395.00,5700.00,0.00,73695.00,18.643501,60.128161,
Switzerland,34477.00,1978.00,30900.00,1599.00,8.227512,46.818188,
Syria,674.00,40.00,0.00,634.00,38.996815,34.802075,
Taiwan*,462.00,7.00,440.00,15.00,120.960515,23.69781,
Tajikistan,7235.00,60.00,6028.00,1147.00,71.276093,38.861034,
Tanzania,509.00,21.00,183.00,305.00,34.888822,-6.369028,
Thailand,3297.00,58.00,3111.00,128.00,100.992541,15.870032,
Timor-Leste,24.00,0.00,0.00,24.00,125.727539,-8.874217,
Togo,874.00,18.00,607.00,249.00,0.824782,8.619543,
Trinidad and Tobago,148.00,8.00,128.00,12.00,-61.222503,10.691803,
Tunisia,1455.00,50.00,1157.00,248.00,9.537499,33.886917,
Turkey,227019.00,5630.00,210469.00,10920.00,35.243322,38.963745,
US,4290259.00,148011.00,1325804.00,2816444.00,-95.712891,37.09024,
Uganda,1128.00,2.00,986.00,140.00,32.290275,1.373333,
Ukraine,67096.00,1636.00,37202.00,28258.00,31.16558,48.379433,
United Arab Emirates,59177.00,345.00,52510.00,6322.00,53.847818,23.424076,
UK,301708.00,45844.00,1437.00,254427.00,-3.435973,55.378051,
Uruguay,1202.00,35.00,951.00,216.00,-55.765835,-32.522779,
Uzbekistan,21209.00,121.00,11674.00,9414.00,64.585262,41.377491,
Venezuela,15988.00,146.00,9959.00,5883.00,-66.58973,6.42375,
Vietnam,431.00,0.00,365.00,66.00,108.277199,14.058324,
Gaza Strip,10621.00,78.00,3752.00,6791.00,34.308825,31.354676,
Western Sahara,10.00,1.00,8.00,1.00,-12.885834,24.215527,
Yemen,1691.00,483.00,833.00,375.00,48.516388,15.552727,
Zambia,4552.00,140.00,2815.00,1597.00,27.849332,-13.133897,
Zimbabwe,2704.00,36.00,542.00,2126.00,29.154857,-19.015438,
