mm,N/mm_
0.323046872,-0.010895342
0.323730463,-0.013511131
0.324414083,0.012043106
0.325048837,-0.002933865
0.325683592,-0.004606461
0.326367212,-0.009145621
0.327001966,-0.005998331
0.327636721,0.021495041
0.328320311,0.000117626
0.328955095,-0.003154444
0.32958985,0.003103756
0.330224604,0.016926778
0.330908195,0.00743422
0.331591786,-0.006930246
0.332226569,0.014466207
0.332861324,0.020471329
0.333544915,0.004631078
0.334179698,-0.01075892
0.334863289,0.035881214
0.33554688,0.006117534
0.336230471,0.028039182
0.336914061,-0.014030505
0.337548816,0.010337405
0.338232436,0.010626378
0.338915997,-0.001586378
0.339599617,-0.00743325
0.340283208,-0.002469181
0.340966799,0.011160789
0.34165039,0.011931786
0.34233398,-0.016135165
0.343017571,-0.019369401
0.343652326,0.00590229
0.344287109,0.002505075
0.3449707,-0.005271231
0.34565432,-0.023073658
0.346337882,0.001368345
0.346972636,0.015147711
0.34760742,-0.016744882
0.348242203,-0.010439874
0.348925765,0.000213667
0.349560549,0.010160723
0.35024414,-0.014110054
0.350878894,0.013697028
0.351464842,0.009827247
0.352148432,0.00360967
0.352783216,-0.001938044
0.353466807,-0.009319999
0.354150397,0.009735571
0.354785152,0.014350278
0.355419936,0.009990711
0.356103497,0.003605062
0.356787117,0.002754394
0.357470679,0.003060222
0.358154299,-0.010247185
0.35883789,-0.003899127
0.35952148,-0.010561744
0.360205071,0.030631687
0.360888662,-0.012513126
0.361572253,-0.007448529
0.362255872,0.009988892
0.362939434,-0.00604138
0.363623054,-0.000578187
0.364355481,-0.005415414
0.364990236,0.022284834
0.365673826,0.008816267
0.366357417,-0.017307548
0.366992172,0.006769814
0.367675791,-0.003838981
0.368359382,0.016963035
0.369042973,0.011598916
0.369677728,0.00840215
0.370361318,0.012879466
0.370947266,0.009882301
0.371630857,0.004502659
0.372314447,-0.008028535
0.372949202,0.001631852
0.373632822,0.017682131
0.374267576,0.004873364
0.374902331,0.015362591
0.375537085,0.019347575
0.376220705,0.014631975
0.376904296,0.008854466
0.37753908,0.001207306
0.378222641,-0.012886741
0.378857425,0.01000405
0.379492179,0.014353795
0.38017577,-0.001392476
0.380908197,-0.001660834
0.381591788,0.014644222
0.382275408,0.010167635
0.38295897,-0.010246093
0.383593724,0.014107993
0.384277344,0.005306034
0.384960964,-0.008459508
0.385644526,-0.009621462
0.386328145,0.00128249
0.387011707,0.00334495
0.387695327,-0.014306017
0.388330081,0.002994254
0.389013672,0.007534263
0.389648427,-0.006005728
0.390380854,-0.010612553
0.391015608,-0.010363477
0.391699228,0.01055944
0.392333983,0.004394976
0.392968737,0.007097227
0.393603492,9.93153E-05
0.394238305,0.005201141
0.394873059,0.011722727
0.395556621,0.015543882
0.396191404,0.018483566
0.396826188,0.026322687
0.397460943,-0.005306034
0.398144533,-0.007242138
0.398779317,-0.006883923
0.399462879,-0.004740094
0.400146499,0.002542788
0.400781253,0.012682775
0.401416008,0.016352955
0.402099598,0.0053315
0.402783218,-0.001729105
0.40346678,-0.000169406
0.4041504,-0.00308108
0.404785154,-0.005136507
0.405468774,0.007496913
0.406152336,0.013699696
0.406835956,-0.002240113
0.407519517,-0.003923987
0.408203137,-0.006927578
0.408886728,0.00821407
0.409619155,0.005537891
0.41025391,0.007013069
0.4109375,0.001045782
0.411572284,0.00807789
0.412255846,0.005230608
0.412939466,-0.018709483
0.413623027,0.010673792
0.414257811,0.005361331
0.414892595,0.002983826
0.415576156,0.018128626
0.41621094,0.017285962
0.416845724,-0.005751922
0.417529285,0.014485852
0.418164069,-0.000529682
0.418798823,-0.003176029
0.419482414,-0.006548507
0.420117198,0.002840128
0.420800789,0.00490562
0.421484379,0.011275019
0.42216797,0.004361023
0.422802754,0.006549598
0.423486315,0.001112599
0.42412107,-0.002508228
0.42480469,0.026949624
0.425488281,0.016387273
0.426171871,-0.008266577
0.426855462,0.00737286
0.427539053,0.009288106
0.428222644,0.0241386
0.428906264,0.000188444
0.429541018,-0.006621993
0.430224609,0.001066518
0.430957007,0.00991771
0.431640627,-0.000196569
0.432324217,0.02505851
0.433007808,-0.01139216
0.433642563,0.002162504
0.434326183,0.003602637
0.434960937,0.003254608
0.435644528,0.005954312
0.436279282,0.012239676
0.436962902,-0.00531804
0.437597657,0.008914976
0.438232411,0.011260225
0.438916031,0.011178736
0.439550786,-0.006658857
0.44018554,0.00808747
0.44086916,-0.000352636
0.441503915,0.01169132
0.442138669,-0.00575362
0.442773424,0.024746133
0.443457044,0.003426925
0.444140605,0.023482924
0.444824225,-0.01197532
0.445507816,0.009400154
0.446142571,-0.001503069
0.446826161,0.009750365
0.447509752,0.010813973
0.448193372,-0.034309387
0.448876934,0.00551473
0.449560554,0.013621359
0.450244115,-0.021426164
0.450927735,-0.015717167
0.451611326,0.001277639
0.452294917,0.004033852
0.452929671,0.003194219
0.453662098,-0.001211429
0.454345689,0.002778768
0.455029309,0.009709499
0.455761736,0.0136598
0.45639649,-0.008717316
0.457031245,0.016576324
0.457714865,0.002718985
0.458349619,0.013648765
0.459033181,-0.002893969
0.459716801,-0.000480327
0.460351555,-0.000573458
0.46098631,-0.006168465
0.461621094,0.013971086
0.462304684,0.00205276
0.462988275,0.000235131
0.463623059,0.007276455
0.46430665,-0.013317108
0.464941404,0.01027071
0.465624995,0.001701821
0.466259778,-0.004610342
0.46694334,0.002826789
0.46762696,0.007510374
0.468310522,0.007035504
0.468994142,0.016100241
0.469628896,-0.003668604
0.470312516,-0.001039961
0.470996078,-0.001887719
0.471630861,-0.012342144
0.472363288,-0.002658474
0.473046879,0.004657756
0.47373047,0.00331609
0.474414061,0.000576126
0.475048844,-0.007546511
0.475732406,0.008213221
0.47636719,-0.00041727
0.47705078,0.01190523
0.4777344,-0.012637908
0.478369155,-0.005275233
0.479052716,0.009250999
0.4796875,0.00654014
0.480322284,-0.005023489
0.481005845,0.02034097
0.481640629,0.017143719
0.482275384,0.001809261
0.482958974,0.000873344
0.483544922,0.010610856
0.484179676,0.013747353
0.484863267,0.001745597
0.485498051,-0.002085743
0.486181641,0.008523778
0.486816396,-0.000658222
0.48745118,0.008684939
0.48813477,-0.004349381
0.488818332,0.004236848
0.489501981,0.009325335
0.490185572,0.012796521
0.490869163,0.005113103
0.491552753,0.018682197
0.492236344,0.016216896
0.492919935,0.016820671
0.493554689,0.007509161
0.494287116,0.010724965
0.494970707,0.006319802
0.495654298,0.007699546
0.496337889,0.007503583
0.49702148,0.013912636
0.49770507,0.001785736
0.498388661,0.005628112
0.499072252,0.014404726
0.499755843,0.011393131
0.500439492,0.006472231
0.501123082,0.010868057
0.501806615,0.006345753
0.502441428,0.002319662
0.503076182,-0.007532686
0.503759715,0.019190174
0.504394528,0.017966982
0.505078118,0.007575735
0.505712873,0.015043303
0.506396464,0.010324309
0.507031276,0.013295523
0.507665973,0.020211823
0.508349622,0.01366453
0.508984376,0.004300997
0.509667967,0.004112189
0.510351558,0.00247682
0.510986312,0.008138279
0.511669961,0.022533668
0.512304658,0.01806072
0.512988248,0.000717884
0.513671897,0.023241851
0.514355488,0.006832386
0.515039079,0.025023585
0.515673833,0.012042015
0.516357424,0.000857701
0.517041015,0.002466877
0.517724606,0.016687524
0.518408197,-0.004991232
0.519091787,0.043796487
0.519775378,0.003015233
0.520458969,0.008491401
0.521093723,0.015677758
0.521777314,0.00541117
0.522412127,0.015187971
0.523095718,0.015725171
0.52377925,0.003849894
0.524414063,0.036461826
0.525097654,-0.006843421
0.525683572,0.005550988
0.526367163,0.008356434
0.527001976,-0.000607412
0.527685508,0.020846885
0.528369157,0.004848868
0.529003912,0.025110411
0.52958983,0.002895303
0.530224643,0.016674064
0.530908233,0.023270953
0.531591766,0.008971485
0.532226579,0.004169668
0.53291017,0.027713951
0.533544924,0.016134923
0.534228515,0.025064087
0.534912106,0.073074505
0.535595696,0.010835437
0.536279345,0.044031981
0.536962878,-0.003554616
0.537646469,0.006999852
0.538281281,0.022240087
0.538964872,0.049525008
0.539648405,0.014891359
0.540331996,0.020031139
0.541015645,0.010517118
0.541748072,-0.006124325
0.542431662,0.004408073
0.543115253,0.020552697
0.543750008,0.031263959
0.544433598,0.01207318
0.545117189,0.005217633
0.54580078,0.024109012
0.546435534,0.065613121
0.547119125,0.022988167
0.547753938,0.008411366
0.548388634,-0.011808825
0.549072283,0.014814598
0.549707038,0.014801502
0.550341792,0.017391099
0.551025383,-0.002882934
0.551660196,0.002182512
0.552294892,-0.00115395
0.552929705,0.005499329
0.553564401,0.006902234
0.55424805,0.008865259
0.554931641,0.006323562
0.555566454,0.013848729
0.556249986,0.011099914
0.556933577,0.006130631
0.55756839,0.012796399
0.558251981,0.003981223
0.558935513,-0.007824085
0.559619104,0.012200144
0.560302753,0.011628262
0.560986344,0.019204361
0.561669935,-0.010395491
0.562353467,0.006121899
0.563037116,-0.001448015
0.563720707,0.006203146
0.564404298,0.010505962
0.565087888,-0.001753843
0.565771479,0.018484902
0.566406234,0.013221916
0.567041046,0.010022967
0.567724579,0.017939454
0.56840817,0.012446309
0.569042983,-0.004214657
0.569726573,-0.000343178
0.570361328,0.033080012
0.570996082,0.005441607
0.571679731,0.007331752
0.572314428,0.018525645
0.57294924,-0.00422739
0.573632831,0.001358522
0.574267586,0.016384726
0.574951177,0.004945637
0.575585989,-0.014605903
0.576220686,-0.002570315
0.576904276,0.01574433
0.577636703,0.006061146
0.578271516,-0.007859615
0.578955049,0.004484106
0.579638639,0.001055847
0.580273452,0.002737296
0.580957043,0.008677905
0.581640576,-0.008530811
0.582373003,0.00466964
0.583056652,0.010604307
0.583740242,-0.004540494
0.584374997,0.031588584
0.585058588,0.040909674
0.585742178,0.054179974
0.586425769,-0.007502007
0.58710936,-0.007800316
0.587841787,0.004805213
0.588525436,0.028208587
0.589160132,0.002038572
0.589794945,-0.006239526
0.590478536,-0.002905004
0.59111329,-0.012488753
0.591796881,0.004134986
0.592480472,0.016427534
0.593115226,0.016237149
0.593749981,-0.00233191
0.594384794,-0.002696794
0.595068326,0.035572354
0.595751917,0.002832609
0.59638673,0.013723949
0.597070321,0.022079412
0.597705075,0.009643531
0.59833983,0.012283816
0.598974584,0.013400174
0.599658175,0.014655015
0.600341824,0.002039178
0.601025415,0.027891483
0.601660111,0.00099764
0.60234376,-0.013761299
0.603027351,0.02087732
0.603662105,0.008171627
0.604394532,0.001374287
0.605078123,-0.009466728
0.605761714,-0.003844922
0.606445305,0.024875037
0.607128895,0.015931442
0.60776365,-0.001303347
0.608447241,-0.040894151
0.609130831,0.021838704
0.609863258,0.00210939
0.610546907,0.0138343
0.611181604,0.011268107
0.611865195,0.017065626
0.612500007,0.015738389
0.613134762,0.014882143
0.613818353,0.010520271
0.614453165,-0.001295344
0.615136756,0.019734044
0.615771452,-0.003610761
0.616406265,0.031841297
0.61704102,0.002135704
0.617675774,0.002360528
0.618359365,-0.014510226
0.61899412,0.006935582
0.619628932,0.031519949
0.620312523,0.024975322
0.620947219,-0.000609959
0.621582032,0.016265161
0.622265623,-0.010429687
0.622949214,0.026974846
0.623632804,0.013657375
0.624267559,-0.000759114
0.624951208,0.01237525
0.625585904,-0.000893474
0.626318331,-0.006267416
0.627001922,-0.010810214
0.627685571,0.022566168
0.628369162,-0.005198109
0.629052753,-0.000924154
0.629736285,0.023076326
0.630419934,0.006411721
