Wavelength,Temperature,Control 1A,25 ppm 1A,20 ppm 1A,Control 2A,25 ppm 2A,20 ppm 2A,Control 3A,25 ppm 3A,20 ppm 3A,Control 1B,25 ppm 1B,20 ppm 1B,Control 2B,25 ppm 2B,20 ppm 2B,Control 3B,25 ppm 3B,20 ppm 3B,Control 1C,25 ppm 1C,20 ppm 1C,Control 2C,25 ppm 2C,20 ppm 2C,Control 3C,25 ppm 3C,20 ppm 3C,
510,24.1,-0.011266667,-0.295966667,-0.139466667,-0.089666667,0.085333333,0.010633333,0.100933333,-0.210466667,-0.070866667,-0.0096,-0.3029,-0.14,-0.0879,0.0867,0.0144,0.0975,-0.205,-0.0634,-0.007266667,-0.302966667,-0.140066667,-0.090166667,0.089633333,0.015933333,0.097433333,-0.204966667,-0.065366667,
520,24.1,-0.0077,-0.294,-0.1417,-0.0899,0.0811,0.0098,0.0976,-0.209,-0.0672,-0.0061,-0.3005,-0.1425,-0.0882,0.0828,0.0137,0.0943,-0.2035,-0.06,-0.004,-0.2999,-0.1423,-0.0906,0.0855,0.0154,0.0946,-0.2034,-0.0624,
530,24.1,-0.004466667,-0.289866667,-0.143866667,-0.089266667,0.076233333,0.010633333,0.093733333,-0.207666667,-0.062766667,-0.0028333,-0.2964333,-0.1447333,-0.088233333,0.077566667,0.014266667,0.091066667,-0.203033333,-0.055733333,-0.000266667,-0.296366667,-0.144666667,-0.090966667,0.080533333,0.015333333,0.091233333,-0.202466667,-0.057966667,
540,24.1,-0.001066667,-0.286066667,-0.145866667,-0.089666667,0.071033333,0.011033333,0.090733333,-0.207666667,-0.059366667,0.0002333,-0.2930667,-0.1461667,-0.088566667,0.073133333,0.014733333,0.088333333,-0.202566667,-0.052666667,0.0026,-0.2924,-0.1461,-0.0906,0.076,0.0165,0.088,-0.2023,-0.0546,
550,24.1,0.0016,-0.2848,-0.1483,-0.089,0.0671,0.011,0.0874,-0.2066,-0.0525,0.0036,-0.2908,-0.1486,-0.0875,0.0687,0.0149,0.0839,-0.2013,-0.0471,0.0062,-0.2907,-0.1484,-0.0899,0.0717,0.0163,0.0837,-0.2009,-0.0488,
560,24.1,0.004433333,-0.282566667,-0.149866667,-0.088666667,0.062733333,0.011033333,0.084233333,-0.205366667,-0.047366667,0.0062333,-0.2892667,-0.1499667,-0.086966667,0.064833333,0.015433333,0.080733333,-0.199866667,-0.041266667,0.0087,-0.288,-0.1496,-0.0893,0.068,0.0167,0.0806,-0.1997,-0.0431,
570,24.1,0.006733333,-0.279666667,-0.150966667,-0.088766667,0.059233333,0.012033333,0.082033333,-0.204466667,-0.043366667,0.0083,-0.2866,-0.1508,-0.0867,0.0614,0.0162,0.0784,-0.199,-0.0368,0.011266667,-0.285433333,-0.150833333,-0.089533333,0.064366667,0.017566667,0.078266667,-0.199133333,-0.037933333,
580,24.1,0.008833333,-0.275366667,-0.150966667,-0.088866667,0.056233333,0.013133333,0.080033333,-0.203566667,-0.039666667,0.0105667,-0.2824333,-0.1514333,-0.087033333,0.058266667,0.017266667,0.076466667,-0.198233333,-0.032033333,0.013466667,-0.281633333,-0.151133333,-0.089933333,0.061766667,0.018966667,0.076466667,-0.197633333,-0.033033333,
590,24.1,0.010633333,-0.271766667,-0.151966667,-0.088766667,0.053633333,0.014633333,0.078133333,-0.202966667,-0.036466667,0.0124,-0.2792,-0.1521,-0.0873,0.0548,0.0187,0.0749,-0.1979,-0.0309,0.015333333,-0.277466667,-0.151566667,-0.090266667,0.058433333,0.020533333,0.074933333,-0.197766667,-0.031866667,
600,24.1,0.013133333,-0.271866667,-0.154466667,-0.087766667,0.049733333,0.013033333,0.074633333,-0.201466667,-0.030866667,0.0147667,-0.2789333,-0.1543333,-0.086333333,0.051766667,0.016066667,0.071566667,-0.196333333,-0.027433333,0.017466667,-0.277233333,-0.153933333,-0.088833333,0.055466667,0.019366667,0.071366667,-0.195933333,-0.026933333,
610,24.1,0.014833333,-0.269366667,-0.155366667,-0.087766667,0.046333333,0.013033333,0.072933333,-0.200666667,-0.027566667,0.0161667,-0.2768333,-0.1552333,-0.085833333,0.049366667,0.017466667,0.069666667,-0.195333333,-0.023033333,0.019333333,-0.275666667,-0.155066667,-0.089066667,0.052233333,0.018933333,0.069733333,-0.195266667,-0.023866667,
