mm,microN
1.2,165153.2
1.2,87065.4
1.2,262719.7
1.2,215255.3
1.2,182678.4
1.2,296602.8
1.2,322287.6
1.2,209738.3
1.2,200116.4
1.2,192777.9
1.2,109882.5
1.2,152357.9
1.2,286657.7
1.2,125148.5
1.2,73086.1
1.2,266129.9
1.2,6829
1.2,267432.2
1.2,206983.2
1.2,277537.4
1.2,211363.8
1.2,348219.8
1.2,324615.6
1.2,346966
1.2,58636.2
1.2,278850.5
1.2,-53729.6
1.2,394938.9
1.2,39170.1
1.2,116134.1
1.2,146505.1
1.2,-18963.5
1.3,67645.8
1.3,280997.1
1.3,159595.4
1.3,171049.6
1.3,189847.1
1.3,120695.2
1.3,-132729.6
1.3,243812.6
1.3,199969.8
1.3,-3034.6
1.3,-6308.9
1.3,85779.5
1.3,127259.3
1.3,35657
1.3,129334.1
1.3,292609.4
1.3,243228.3
1.3,44434.7
1.3,162835.8
1.3,87712.7
1.3,68368.8
1.3,158612.4
1.3,95555.8
1.3,-28345.7
1.3,145724.9
1.3,-10194.5
1.3,-17990.1
1.3,-28290.4
1.3,201177.1
1.3,185875.1
1.3,101368.8
1.3,-92532.9
1.3,115927.4
1.3,-227021
1.3,79998.6
1.3,299487
1.3,61929.9
1.3,120623.4
1.3,187433.6
1.3,179112
1.3,148888.5
1.3,182784.2
1.3,15432
1.3,-12649.7
1.3,134563.8
1.3,186053.6
1.3,213174.7
1.3,283478.5
1.3,91027.7
1.3,260315.9
1.3,64814.1
1.3,171580.4
1.3,192578.9
1.3,53270.6
1.3,182446.5
1.3,249022.9
1.3,236753.5
1.3,11679.3
1.3,190028.6
1.3,269298.4
1.4,140162.3
1.4,168807.9
1.4,23281.9
1.4,329782.3
1.4,189711.3
1.4,196987.6
1.4,254911.5
1.4,-35597.9
1.4,315523.6
1.4,86200.7
1.4,84781
1.4,224653.1
1.4,98052.7
1.4,-71931.3
1.4,415852
1.4,-5694.6
1.4,275140.5
1.4,166627.3
1.4,413272.6
1.4,336943.2
1.4,148006.4
1.4,-2051.5
1.4,216554.7
1.4,213592.9
1.4,202303.7
1.4,142798
1.4,106043.4
1.4,71734.3
1.4,131490.4
1.4,311104.2
1.4,3876
1.4,200772.4
1.4,83613.5
1.4,62632.5
1.4,76821.4
1.4,227498.4
1.4,313004.3
1.4,-123352.2
1.4,50286.5
1.4,97197.8
1.4,79958.8
1.4,99277.5
1.4,-151386.4
1.4,311208
1.4,-150092.9
1.4,62970.2
1.4,140454.4
1.4,308580
1.4,526372.1
1.4,269956.3
1.4,10623.5
1.4,102648.8
1.4,262181.1
1.4,288407.4
1.4,223563.3
1.4,196384
1.4,305488.2
1.4,178040.7
1.4,309991.1
1.4,5710.1
1.5,274098.2
1.5,197596.1
1.5,179295.5
1.5,333284.6
1.5,272685.2
1.5,515597.2
1.5,281694.8
1.5,318478.6
1.5,362168
1.5,279371.6
1.5,248925.8
1.5,136788.1
1.5,45878.7
1.5,217957
1.5,-26887.1
1.5,503051.3
1.5,182802.7
1.5,113716.7
1.5,320535.9
1.5,428919
1.5,89606
1.5,231951.8
1.5,67530.3
1.5,206464
1.5,214426.5
1.5,460603.1
1.5,117918.7
1.5,356240.5
1.5,181895.3
1.5,152167.7
1.5,355757.2
1.5,104956.5
1.5,333914.5
1.5,53854.8
1.5,299293.9
1.5,432768.8
1.5,543830.4
1.5,431961.4
1.5,159620.7
1.5,196673.2
1.5,260955.5
1.5,252671.8
1.5,185867.3
1.5,231205.5
1.5,280638
1.5,198759.7
1.5,229577.1
1.5,113642.9
1.5,-2968.6
1.5,127185.5
1.5,235588
1.5,152559.7
1.5,202499.8
1.5,319757.6
1.5,131775.7
1.5,236347.9
1.5,-78096.5
1.5,398681.9
1.5,234019.8
1.5,162257.4
1.6,335630.2
1.6,224509.4
1.6,218870.2
1.6,196614
1.6,173121.5
1.6,302438.1
1.6,194094.7
1.6,-36712.9
1.6,375895.9
1.6,211467.6
1.6,249379
1.6,302960.2
1.6,283054.4
1.6,191818.1
1.6,203270.3
1.6,395180.6
1.6,153945.5
1.6,182276.7
1.6,261336.8
1.6,211983.9
1.6,187913
1.6,111116.9
1.6,393324.1
1.6,284218
1.6,335388.6
1.6,82386.9
1.6,127358.2
1.6,-20658.8
1.6,367205.5
1.6,60712
1.6,258535.2
1.6,158853
1.6,93445.1
1.6,296537.8
1.6,318575.6
1.6,327205.8
1.6,95368.5
1.6,196932.3
1.6,76217.8
1.6,263895.9
1.6,208462.2
1.6,187190
1.6,160651.3
1.6,59358.2
1.6,207394.7
1.6,169356.2
1.6,218198.6
1.6,148482.9
1.6,193946.3
1.6,84747
1.6,304447.9
1.6,505509.4
1.6,300048.9
1.6,286740.2
1.6,320624.2
1.6,206896.8
1.6,215432.9
1.6,97968.3
1.6,350047.1
1.6,210613.6
1.7,156234.8
1.7,193897.7
1.7,316879.3
1.7,212558.4
1.7,57570.7
1.7,281657
1.7,185848.9
1.7,272107.8
1.7,227313.1
1.7,275300.6
1.7,373496.9
1.7,72456.3
1.7,230332.1
1.7,299069.7
1.7,177475.9
1.7,127947.3
1.7,607991.3
1.7,173351.5
1.7,152264.7
1.7,302793.3
1.7,69067.5
1.7,-12210.1
1.7,41874.7
1.7,230775.6
1.7,254297.3
1.7,222291
1.7,218631.5
1.7,303515.3
1.7,349647.3
1.7,291748.6
1.7,174698.5
1.7,227140.3
1.7,45502.2
1.7,148190.8
1.7,209801.4
1.7,-135638.1
1.7,59071
1.7,415452.2
1.7,502943.6
1.7,89553.6
1.7,198171.6
1.7,202065
1.7,509757.1
1.7,217921.1
1.7,84878
1.7,-1239.3
1.7,221524.4
1.7,168726.4
1.7,150759.5
1.7,198389
1.7,395159.2
1.7,166270.2
1.7,227698.3
1.7,67155.7
1.7,-58611
1.7,235490
1.7,253995.4
1.7,108460.8
1.7,-8400.2
1.7,351580.4
1.8,283338.8
1.8,-51800.4
1.8,68836.5
1.8,65338.1
1.8,-26113.7
1.8,226814.3
1.8,206231.1
1.8,357423.5
1.8,344800.9
1.8,283497
1.8,309060.4
1.8,198736.4
1.8,342730.9
1.8,427353.7
1.8,104055
1.8,277608.3
1.8,170307.2
1.8,148349.9
1.8,92750.2
1.8,66119.3
1.8,112394
1.8,161427.6
1.8,139971.1
1.8,512414.1
1.8,-184729
1.8,184121.5
1.8,-78615.7
1.8,197359.3
1.8,115990.4
1.8,-125559
1.8,-151075.9
1.8,415480.3
1.8,206066.2
1.8,236236.3
1.8,192176.2
1.8,118991.1
1.8,183329.6
1.8,635264.7
1.8,113957.4
1.8,448704.5
1.8,309426.3
1.8,146598.3
1.8,257132.9
1.8,603953.3
1.8,225480.9
1.8,260767.2
1.8,206365
1.8,213018.4
1.8,217406.8
1.8,502784.5
1.8,221462.3
1.8,144479.8
1.8,399787.3
1.8,274760
1.8,280041.2
1.8,395574.6
1.8,-127735.7
1.8,429334.4
1.8,226033
1.8,259538.6
1.9,137861.4
1.9,420149.1
1.9,268226
1.9,411900.4
1.9,339678.9
1.9,205152
1.9,310740.3
1.9,318107.8
1.9,297577.1
1.9,311072.1
1.9,328195.6
1.9,219674.7
1.9,162568.9
1.9,242022.1
1.9,303073.7
1.9,579.4
1.9,226631.8
1.9,480133.3
1.9,124439.1
1.9,168415.8
1.9,156284.3
1.9,153799
1.9,113270.3
1.9,-10121.7
1.9,78650.7
1.9,467108
1.9,52599.1
1.9,166042.1
1.9,232882.4
1.9,443156.4
1.9,218339.4
1.9,262060.8
1.9,292642.4
1.9,410256.4
1.9,185008.5
1.9,186129.3
1.9,-8885.4
1.9,298449.6
1.9,184694
1.9,276214.7
1.9,267162.4
1.9,239219.4
1.9,234140.1
1.9,295512
1.9,340871.6
1.9,301661.7
1.9,302553.6
1.9,258369.2
1.9,-25036.5
1.9,619241.6
1.9,256363.3
1.9,366672.8
1.9,331648.5
1.9,234921.3
1.9,-130693.7
1.9,447604
1.9,148334.4
1.9,412885.4
1.9,325441.5
1.9,307215.6
2,300888.3
2,240137.5
2,148093.7
2,344945.5
2,198937.3
2,255302.6
2,79183.4
2,300720.4
2,249744.9
2,422390.9
2,237610.4
2,158019.4
2,297243.3
2,269428.4
2,266424.9
2,248652.2
2,262359.7
2,285377.7
2,148961.3
2,136437.7
2,186157.5
2,254379.7
2,192168.4
2,249430.5
2,155381.8
2,11696.8
2,73284.1
2,148257.7
2,-76282.8
2,304750.7
2,-34284.8
2,117557.7
2,222233.8
2,273324.8
2,133102.3
2,189244.5
2,164612.6
2,32234.3
2,257555
2,540346.5
2,235389.1
2,44369.7
2,321176.4
2,-104337.4
2,218775.1
2,141224.9
2,248959.8
2,43405.1
2,317437.3
2,36413
2,191671.5
2,518474.6
2,265463.2
2,365118.1
2,371501.7
2,444525.7
2,455636.3
2,297880.9
2,390243.9
2,427821.5
2.1,589132.7
2.1,431126.8
2.1,299801.4
2.1,399544.7
2.1,148100.5
2.1,121543.3
2.1,223063.5
2.1,327232
2.1,228257.3
2.1,224822.9
2.1,78703.1
2.1,433492.8
2.1,51083.2
2.1,307567.9
2.1,342350.5
2.1,206260.2
2.1,248263
2.1,63500.1
2.1,200494.8
2.1,292194.1
2.1,262809
2.1,375974.5
2.1,170210.2
2.1,384938.5
2.1,137138.4
2.1,341867.2
2.1,198905.2
2.1,71829.4
2.1,357733
2.1,219321.4
2.1,355174
2.1,223941.7
2.1,209414.2
2.1,230815.4
2.1,398389.8
2.1,283911.3
2.1,210757.3
2.1,378621.9
2.1,72848.4
2.1,51073.5
2.1,337345
2.1,-38262.7
2.1,227640.1
2.1,227018.1
2.1,126802.2
2.1,182849.2
2.1,185686.8
2.1,576751.7
2.1,620149
2.1,276439.9
2.1,264943
2.1,361990.4
2.1,418342.2
2.1,569333.7
2.1,150301.5
2.1,278228.4
2.1,471127.6
2.1,19152.7
2.1,228776.5
2.1,162525.2
2.2,312842.2
2.2,333553.5
2.2,235535.6
2.2,74027.5
2.2,166770.9
2.2,167229
2.2,413293.9
2.2,272724
2.2,107528.2
2.2,58595.4
2.2,410876.5
2.2,379452.6
2.2,190629.3
2.2,199164.3
2.2,324629.2
2.2,220400.6
2.2,268678.3
2.2,253178.3
2.2,74003.2
2.2,428646.3
2.2,-7856.7
2.2,141238.5
2.2,215306.7
2.2,105837.7
2.2,191089.3
2.2,-101235.8
2.2,477271.5
2.2,123470.6
2.2,39116.7
2.2,227619.7
2.2,125009.8
2.2,-83894.9
