Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
3.628302,35.900000,38.171978,1.000001,58.000000,2390.000000,1028901.250000,32181.500000,59655864.250000,56662.125000,59826.750000,0.000052,1029404.406049,0.031278,0.018358,0.018356,3328.869942,3330.043063,260.796373,1.697535,262.493909,0.078786,61.164141,59.170398,1.996563,0.296189,0.005263,0.747008,0.001260,1271610.453726,22595.426310,0.011042,0.000019,0.013299,0.050699,57097.929511,0.000749,76242363.795820,17186269.362598,0.225416,2735277.555578,12134339.458727,12438807.716404,28237912.516970,6365284.949110,78155395.794391,28946442.886811, 
3.761413,36.562500,38.837535,1.000001,58.000000,2390.000000,1029858.250000,32105.500000,59656968.500000,56663.500000,59834.500000,0.000052,1030358.567792,0.031175,0.018255,0.018253,3325.787248,3326.963946,257.665765,1.697535,259.363300,0.077918,60.765381,58.771604,1.996563,0.296333,0.005408,0.747042,0.001294,1272231.472508,23216.445092,0.011042,0.000019,0.013153,0.050746,56469.144058,0.000750,75333066.633135,17070438.223322,0.226600,2716842.471802,11989620.435188,12293584.961127,27901135.790050,6322384.527156,77242933.589349,28608493.921981, 
3.922601,37.475000,39.643475,1.000001,58.000000,2390.000000,1030970.375000,32021.125000,59658328.375000,56661.750000,59837.000000,0.000052,1031467.530548,0.031059,0.018140,0.018138,3322.211591,3323.392151,254.030557,1.697535,255.728092,0.076909,60.316405,58.322588,1.996563,0.296512,0.005586,0.747085,0.001337,1272996.281770,23981.254354,0.011043,0.000020,0.012983,0.050801,55737.487310,0.000751,74277206.500824,16940019.672993,0.228065,2696085.731289,11821575.209036,12125119.326974,27510076.481787,6274081.360368,76184431.953565,28216456.279098, 
4.053111,38.262500,40.296026,1.000001,58.000000,2390.000000,1031996.750000,32028.000000,59659942.000000,56664.375000,59839.375000,0.000052,1032493.624578,0.031035,0.018115,0.018113,3318.909971,3320.089101,250.652258,1.697535,252.349793,0.075968,60.175996,58.182130,1.996563,0.296723,0.005797,0.747136,0.001387,1273903.845353,24888.817938,0.011044,0.000021,0.012824,0.050851,55055.857345,0.000752,73295966.381277,16899223.201003,0.230561,2689592.776254,11665406.117362,11971449.752852,27146654.215288,6258971.555927,75218896.778420,27858850.658674, 
4.203122,38.912500,41.046081,1.000001,58.000000,2390.000000,1032908.000000,31767.500000,59661297.250000,56662.875000,59840.000000,0.000052,1033396.395639,0.030755,0.017836,0.017834,3316.010584,3317.203861,247.703812,1.697535,249.401348,0.075146,59.196354,57.202447,1.996563,0.296901,0.005975,0.747178,0.001430,1274666.124660,25651.097244,0.011044,0.000021,0.012685,0.050896,54459.889674,0.000752,72439579.155587,16614670.283731,0.229359,2644304.808775,11529107.965163,11828468.979293,26829473.761329,6153581.586567,74320521.371124,27526119.026342, 
4.331034,39.525000,41.685643,1.000001,58.000000,2390.000000,1033756.625000,31637.875000,59662605.875000,56664.375000,59845.625000,0.000052,1034240.646497,0.030605,0.017685,0.017684,3313.303724,3314.503496,244.942415,1.697535,246.639950,0.074374,58.648897,56.654950,1.996563,0.297072,0.006146,0.747219,0.001471,1275402.209904,26387.182488,0.011045,0.000022,0.012555,0.050938,53900.759516,0.000753,71637520.615888,16455647.940972,0.229707,2618995.636911,11401456.485042,11698390.834917,26532415.042922,6094684.422582,73503215.638155,27223413.199316, 
4.460766,40.200000,42.334299,1.000001,58.000000,2390.000000,1034556.375000,31684.625000,59664028.625000,56660.000000,59846.750000,0.000052,1035041.452559,0.030626,0.017707,0.017705,3310.740238,3311.936490,242.309051,1.697535,244.006587,0.073637,58.674750,56.680760,1.996563,0.297258,0.006333,0.747264,0.001515,1276202.523395,27187.495979,0.011045,0.000022,0.012430,0.050977,53366.573588,0.000754,70872650.107139,16463144.310806,0.232292,2620188.720281,11279723.659182,11580049.859883,26249129.669311,6097460.855854,72759656.773568,26948021.027247, 
4.590756,40.800000,42.984251,1.000001,56.000000,2390.000000,1004232.750000,30537.250000,59666091.000000,56708.500000,59816.375000,0.000052,1004696.939286,0.030409,0.017489,0.017488,3293.121882,3294.315316,224.591681,1.697535,226.289216,0.068655,57.645137,55.651085,1.996563,0.297529,0.006603,0.747328,0.001580,1277362.696970,28347.669554,0.011046,0.000023,0.011190,0.049483,48040.476415,0.000731,65726571.725258,16164071.371358,0.245929,2572589.821329,10460700.495968,10772394.035457,24343174.713059,5986693.100503,67685001.544315,25068519.090487, 
4.718667,41.512500,43.623807,1.000001,56.000000,2390.000000,1000594.375000,30272.625000,59667320.375000,56719.000000,59798.625000,0.000052,1001052.213976,0.030255,0.017336,0.017334,3305.111791,3306.324640,236.543658,1.697535,238.241194,0.072019,57.346610,55.352521,1.996563,0.297690,0.006764,0.747367,0.001619,1278054.308430,29039.281014,0.011047,0.000024,0.011738,0.049304,50394.227092,0.000729,69198069.575298,16077352.174925,0.232338,2558788.043489,11013206.101059,11306551.413933,25628914.657518,5954574.879602,71041213.995148,26311560.738944, 
4.882455,42.200000,44.442748,1.000001,56.000000,2390.000000,1001533.250000,30259.750000,59668689.750000,56720.375000,59799.250000,0.000052,1001990.271073,0.030213,0.017294,0.017293,3302.017565,3303.230039,233.385178,1.697535,235.082713,0.071131,57.156772,55.162640,1.996563,0.297869,0.006943,0.747410,0.001661,1278824.711380,29809.683964,0.011048,0.000025,0.011593,0.049350,49772.687612,0.000729,68280676.770842,16022200.766132,0.234652,2550010.431114,10867198.617135,11162372.462118,25289139.544756,5934148.431901,70135310.205876,25976040.816991, 
5.009847,42.962500,45.079703,1.000001,56.000000,2390.000000,1002380.500000,30115.750000,59670293.750000,56719.125000,59802.875000,0.000052,1002832.800211,0.030044,0.017125,0.017124,3299.243378,3300.463016,230.543328,1.697535,232.240863,0.070330,56.550497,54.556318,1.996563,0.298079,0.007154,0.747460,0.001712,1279727.155256,30712.127840,0.011048,0.000025,0.011463,0.049392,49212.201776,0.000730,67455250.448690,15846091.946494,0.234913,2521981.864150,10735828.041873,11028073.098587,24983426.092107,5868922.943146,69291481.749723,25663511.759157, 
