,,Control,Control,Control,Control,Control,Control,1,2,3,4,5,6,7,8,9,10,11,12,,Control,Control,Control,Control,Control,Control,1,2,3,4,5,6,7,8,9,10,11,12
6,hASB16,1.407045742,1.419127323,0.506348593,1.718431009,0.60386806,0.340688907,0.766741986,1.041801136,0.770605883,1.325670292,1.041507214,1.86333763,1.072804857,1.791202708,0.726721379,0.372040143,0.614375002,0.59794935,hASB16,1,1,1,1,1,1,0.54493039,0.73411393,1.521888069,0.771442254,1.724726448,5.469322866,0.762452012,1.262186049,1.435219507,0.216499901,1.0173994,1.755118341
6,hFAM189A1,1.118767855,1.608826453,0.769358532,0.716555975,1.340757886,0.54561896,0.742539873,0.988182455,0.875310808,1.033082552,1.436306841,1.428310336,0.905735252,1.407921468,0.789639357,1.49983713,0.547716671,0.784429483,hFAM189A1,1,1,1,1,1,1,0.663712199,0.614225638,1.137715085,1.44173322,1.071264884,2.61777988,0.809582835,0.875123271,1.026360693,2.093119286,0.408512735,1.437687361
7,hCHRNA10,2.49538925,1.51401538,0.460137457,1.489989368,1.448064684,0.31157894,0.702779738,0.738639924,1.07979828,1.069044048,0.937378747,1.293437252,0.963145651,1.585734071,0.642009068,0.44376075,0.679846583,1.031199475,hCHRNA10,1,1,1,1,1,1,0.281631308,0.487868177,2.346686327,0.717484346,0.647332096,4.151234522,0.385970105,1.047369857,1.395254957,0.297828132,0.469486336,3.309592988
7,hCERKL,3.105090083,1.890661237,0.847447205,1.589102591,1.525922892,0.773927991,0.50025319,2.850075712,0.339877848,0.427628404,1.105477362,0.911373997,0.380188751,1.099541257,1.233116241,0.418144204,0.53535159,1.14829753,hCERKL,1,1,1,1,1,1,0.161107464,1.50744917,0.401060794,0.269100564,0.72446476,1.177595341,0.12244049,0.581564394,1.455095059,0.26313229,0.350837905,1.483726578
8,hSMYD1,0.381346759,1.413741272,1.79127625,1.868302946,1.572602707,2.537049829,0.830452823,3.70468754,4.658890215,2.904931546,3.233967212,5.680438191,8.244736319,1.620660753,0.453577185,6.935460277,1.153660168,0.669110935,hSMYD1,1,1,1,1,1,1,2.177684232,2.620484819,2.600877567,1.55485038,2.056442608,2.238993545,21.62005086,1.146363048,0.253214536,3.71217114,0.733599251,0.263735827
8,hFA2H,0.238900441,0.211644656,0.154802438,0.962146183,0.309578718,0.200507014,0.313532627,0.369778022,0.185109574,0.875753063,0.557730325,1.020565307,0.865251589,0.479963682,0.259754387,0.15147878,0.165974404,0.135293209,hFA2H,1,1,1,1,1,1,1.312398693,1.747164468,1.195779451,0.910207907,1.801578381,5.089923225,3.621808248,2.26778078,1.677973488,0.157438425,0.536129892,0.674755492
9,hCLIC4,0.881101846,0.600714621,0.4568672,2.535913742,0.801815821,0.461139567,1.615608492,1.957441892,0.549574871,1.530582308,0.61714711,1.812359932,1.424676118,1.011617372,0.742009971,0.2548617,0.527069993,0.426796454,hCLIC4,1,1,1,1,1,1,1.833622866,3.25852214,1.202920392,0.603562449,0.76968687,3.930176595,1.616925586,1.684023223,1.624126161,0.100500934,0.657345464,0.925525556
9,hTF,4.593191541,1.208947705,0.381861647,1.048225501,0.875949546,0.154970188,0.571850525,0.971679655,0.216921557,2.532961566,3.212861643,2.268672097,0.464864084,0.974010696,0.663107374,0.061835295,0.670497184,0.379216421,hTF,1,1,1,1,1,1,0.124499603,0.803740022,0.56806322,2.41642811,3.66786153,14.63940986,0.101207206,0.805668178,1.736512108,0.058990451,0.765451831,2.447028207
10,hLRP2,0.154482346,0.067517149,0.040310341,0.495087171,0.148796582,0.027190557,0.059642731,0.16080576,0.021693614,0.49501199,0.156592899,0.383054386,0.538419532,0.113252697,0.075182234,0.055575862,0.017874028,0.030465573,hLRP2,1,1,1,1,1,1,0.386081211,2.381702455,0.538164986,0.999848146,1.052395806,14.08777252,3.485314313,1.677391579,1.865085543,0.112254701,0.120123917,1.120446789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
